"DATE","TIME PERIOD","Cost of borrowing for households for house purchase - Belgium (MIR.M.BE.B.A2C.AM.R.A.2250.EUR.N)"
"2003-01-31","2003Jan","5.0900"
"2003-02-28","2003Feb","4.9600"
"2003-03-31","2003Mar","4.8100"
"2003-04-30","2003Apr","4.6700"
"2003-05-31","2003May","4.6600"
"2003-06-30","2003Jun","4.5400"
"2003-07-31","2003Jul","4.4000"
"2003-08-31","2003Aug","4.3100"
"2003-09-30","2003Sep","4.3100"
"2003-10-31","2003Oct","4.3000"
"2003-11-30","2003Nov","4.3300"
"2003-12-31","2003Dec","4.3600"
"2004-01-31","2004Jan","4.3800"
"2004-02-29","2004Feb","4.3200"
"2004-03-31","2004Mar","4.3100"
"2004-04-30","2004Apr","4.2200"
"2004-05-31","2004May","4.1000"
"2004-06-30","2004Jun","4.1200"
"2004-07-31","2004Jul","4.1200"
"2004-08-31","2004Aug","4.1900"
"2004-09-30","2004Sep","4.1500"
"2004-10-31","2004Oct","4.1200"
"2004-11-30","2004Nov","4.0800"
"2004-12-31","2004Dec","3.9500"
"2005-01-31","2005Jan","3.8800"
"2005-02-28","2005Feb","3.8300"
"2005-03-31","2005Mar","3.7900"
"2005-04-30","2005Apr","3.7600"
"2005-05-31","2005May","3.6800"
"2005-06-30","2005Jun","3.6000"
"2005-07-31","2005Jul","3.5600"
"2005-08-31","2005Aug","3.5200"
"2005-09-30","2005Sep","3.4900"
"2005-10-31","2005Oct","3.5200"
"2005-11-30","2005Nov","3.5400"
"2005-12-31","2005Dec","3.6000"
"2006-01-31","2006Jan","3.6500"
"2006-02-28","2006Feb","3.7300"
"2006-03-31","2006Mar","3.8100"
"2006-04-30","2006Apr","3.8900"
"2006-05-31","2006May","3.9500"
"2006-06-30","2006Jun","3.9800"
"2006-07-31","2006Jul","4.1500"
"2006-08-31","2006Aug","4.2700"
"2006-09-30","2006Sep","4.3200"
"2006-10-31","2006Oct","4.3700"
"2006-11-30","2006Nov","4.3800"
"2006-12-31","2006Dec","4.4000"
"2007-01-31","2007Jan","4.4300"
"2007-02-28","2007Feb","4.4700"
"2007-03-31","2007Mar","4.4900"
"2007-04-30","2007Apr","4.5200"
"2007-05-31","2007May","4.5300"
"2007-06-30","2007Jun","4.5600"
"2007-07-31","2007Jul","4.7100"
"2007-08-31","2007Aug","4.8400"
"2007-09-30","2007Sep","4.9400"
"2007-10-31","2007Oct","5.0100"
"2007-11-30","2007Nov","5.0200"
"2007-12-31","2007Dec","5.0100"
"2008-01-31","2008Jan","5.0100"
"2008-02-29","2008Feb","4.9700"
"2008-03-31","2008Mar","4.9200"
"2008-04-30","2008Apr","4.8800"
"2008-05-31","2008May","4.9000"
"2008-06-30","2008Jun","4.9500"
"2008-07-31","2008Jul","5.0900"
"2008-08-31","2008Aug","5.2300"
"2008-09-30","2008Sep","5.3600"
"2008-10-31","2008Oct","5.4300"
"2008-11-30","2008Nov","5.3500"
"2008-12-31","2008Dec","5.0200"
"2009-01-31","2009Jan","4.7400"
"2009-02-28","2009Feb","4.5700"
"2009-03-31","2009Mar","4.4100"
"2009-04-30","2009Apr","4.3100"
"2009-05-31","2009May","4.2200"
"2009-06-30","2009Jun","4.1900"
"2009-07-31","2009Jul","4.2000"
"2009-08-31","2009Aug","4.2000"
"2009-09-30","2009Sep","4.1500"
"2009-10-31","2009Oct","4.0400"
"2009-11-30","2009Nov","4.0200"
"2009-12-31","2009Dec","3.9700"
"2010-01-31","2010Jan","3.9300"
"2010-02-28","2010Feb","3.8700"
"2010-03-31","2010Mar","3.7800"
"2010-04-30","2010Apr","3.6800"
"2010-05-31","2010May","3.5800"
"2010-06-30","2010Jun","3.5000"
"2010-07-31","2010Jul","3.4500"
"2010-08-31","2010Aug","3.4500"
"2010-09-30","2010Sep","3.4300"
"2010-10-31","2010Oct","3.4500"
"2010-11-30","2010Nov","3.4800"
"2010-12-31","2010Dec","3.5300"
"2011-01-31","2011Jan","3.5900"
"2011-02-28","2011Feb","3.6700"
"2011-03-31","2011Mar","3.7300"
"2011-04-30","2011Apr","3.8100"
"2011-05-31","2011May","3.9000"
"2011-06-30","2011Jun","3.9400"
"2011-07-31","2011Jul","3.9900"
"2011-08-31","2011Aug","3.9600"
"2011-09-30","2011Sep","3.8800"
"2011-10-31","2011Oct","3.8100"
"2011-11-30","2011Nov","3.7500"
"2011-12-31","2011Dec","3.7300"
"2012-01-31","2012Jan","3.8800"
"2012-02-29","2012Feb","3.8800"
"2012-03-31","2012Mar","3.8700"
"2012-04-30","2012Apr","3.7900"
"2012-05-31","2012May","3.7200"
"2012-06-30","2012Jun","3.6000"
"2012-07-31","2012Jul","3.5300"
"2012-08-31","2012Aug","3.5200"
"2012-09-30","2012Sep","3.4700"
"2012-10-31","2012Oct","3.4600"
"2012-11-30","2012Nov","3.4500"
"2012-12-31","2012Dec","3.4400"
"2013-01-31","2013Jan","3.4100"
"2013-02-28","2013Feb","3.4300"
"2013-03-31","2013Mar","3.4200"
"2013-04-30","2013Apr","3.4100"
"2013-05-31","2013May","3.3800"
"2013-06-30","2013Jun","3.3400"
"2013-07-31","2013Jul","3.4000"
"2013-08-31","2013Aug","3.4100"
"2013-09-30","2013Sep","3.4400"
"2013-10-31","2013Oct","3.5400"
"2013-11-30","2013Nov","3.6000"
"2013-12-31","2013Dec","3.5800"
"2014-01-31","2014Jan","3.5700"
"2014-02-28","2014Feb","3.5400"
"2014-03-31","2014Mar","3.4500"
"2014-04-30","2014Apr","3.4000"
"2014-05-31","2014May","3.3400"
"2014-06-30","2014Jun","3.2300"
"2014-07-31","2014Jul","3.1400"
"2014-08-31","2014Aug","3.0400"
"2014-09-30","2014Sep","2.9500"
"2014-10-31","2014Oct","2.8600"
"2014-11-30","2014Nov","2.8200"
"2014-12-31","2014Dec","2.7000"
"2015-01-31","2015Jan","2.6900"
"2015-02-28","2015Feb","2.6100"
"2015-03-31","2015Mar","2.5400"
"2015-04-30","2015Apr","2.5000"
"2015-05-31","2015May","2.4600"
"2015-06-30","2015Jun","2.4300"
"2015-07-31","2015Jul","2.4500"
"2015-08-31","2015Aug","2.4500"
"2015-09-30","2015Sep","2.4400"
"2015-10-31","2015Oct","2.4700"
"2015-11-30","2015Nov","2.4600"
"2015-12-31","2015Dec","2.4200"
"2016-01-31","2016Jan","2.4000"
"2016-02-29","2016Feb","2.3400"
"2016-03-31","2016Mar","2.2300"
"2016-04-30","2016Apr","2.1500"
"2016-05-31","2016May","2.0700"
"2016-06-30","2016Jun","2.0400"
"2016-07-31","2016Jul","2.0300"
"2016-08-31","2016Aug","2.0100"
"2016-09-30","2016Sep","2.0200"
"2016-10-31","2016Oct","2.0000"
"2016-11-30","2016Nov","1.9900"
"2016-12-31","2016Dec","2.0000"
"2017-01-31","2017Jan","2.0300"
"2017-02-28","2017Feb","2.0500"
"2017-03-31","2017Mar","2.1000"
"2017-04-30","2017Apr","2.1300"
"2017-05-31","2017May","2.1400"
"2017-06-30","2017Jun","2.1400"
"2017-07-31","2017Jul","2.1300"
"2017-08-31","2017Aug","2.1300"
"2017-09-30","2017Sep","2.1100"
"2017-10-31","2017Oct","2.0700"
"2017-11-30","2017Nov","2.0400"
"2017-12-31","2017Dec","2.0200"
"2018-01-31","2018Jan","2.0000"
"2018-02-28","2018Feb","2.0100"
"2018-03-31","2018Mar","1.9900"
"2018-04-30","2018Apr","1.9800"
"2018-05-31","2018May","1.9800"
"2018-06-30","2018Jun","1.9300"
"2018-07-31","2018Jul","1.9000"
"2018-08-31","2018Aug","1.8400"
"2018-09-30","2018Sep","1.8000"
"2018-10-31","2018Oct","1.8200"
"2018-11-30","2018Nov","1.8600"
"2018-12-31","2018Dec","1.8800"
"2019-01-31","2019Jan","1.8900"
"2019-02-28","2019Feb","1.9100"
"2019-03-31","2019Mar","1.8900"
"2019-04-30","2019Apr","1.8400"
"2019-05-31","2019May","1.8300"
"2019-06-30","2019Jun","1.8000"
"2019-07-31","2019Jul","1.7900"
"2019-08-31","2019Aug","1.7600"
"2019-09-30","2019Sep","1.7100"
"2019-10-31","2019Oct","1.6900"
"2019-11-30","2019Nov","1.6800"
"2019-12-31","2019Dec","1.6500"
"2020-01-31","2020Jan","1.6900"
"2020-02-29","2020Feb","1.7300"
"2020-03-31","2020Mar","1.7200"
"2020-04-30","2020Apr","1.6600"
"2020-05-31","2020May","1.6100"
"2020-06-30","2020Jun","1.5700"
"2020-07-31","2020Jul","1.5300"
"2020-08-31","2020Aug","1.5100"
"2020-09-30","2020Sep","1.4900"
"2020-10-31","2020Oct","1.4800"
"2020-11-30","2020Nov","1.4900"
"2020-12-31","2020Dec","1.4700"
"2021-01-31","2021Jan","1.4600"
"2021-02-28","2021Feb","1.4400"
"2021-03-31","2021Mar","1.4300"
"2021-04-30","2021Apr","1.4300"
"2021-05-31","2021May","1.4300"
"2021-06-30","2021Jun","1.4400"
"2021-07-31","2021Jul","1.4500"
"2021-08-31","2021Aug","1.4700"
"2021-09-30","2021Sep","1.4800"
"2021-10-31","2021Oct","1.4800"
"2021-11-30","2021Nov","1.4800"
"2021-12-31","2021Dec","1.4800"
"2022-01-31","2022Jan","1.4800"
"2022-02-28","2022Feb","1.5300"
"2022-03-31","2022Mar","1.5600"
"2022-04-30","2022Apr","1.6500"
"2022-05-31","2022May","1.7800"
"2022-06-30","2022Jun","1.9400"
"2022-07-31","2022Jul","2.1600"
"2022-08-31","2022Aug","2.3500"
"2022-09-30","2022Sep","2.5400"
"2022-10-31","2022Oct","2.7200"
